Food,Carb_per_100g,Protein_per_100g,Fat_per_100g
בננה,22.8,1.9,0.33
יוגורט פרו 0% שומן,3.3,10.5,0.0
חמאת בוטנים טבעית,12.4,28.0,49.0
חלב 3%,4.9,3.4,3.0
ביצה שלמה L,0.72,12.56,9.51
לחם כוסמין קל של מאפיית טאוברד,25.4,12.56,2.8
קוטג תנובה 5%,1.5,11.0,5.0
